,date,a,b,c,d,p
0,2014/01/02,1.0,1.0,1.0,1.0,1.0
1,2014/01/03,1.0,1.0,1.0,1.0,1.0
2,2014/01/06,1.0,1.0,1.0,1.0,1.0
3,2014/01/07,1.0,1.0,1.0,1.0,1.0
4,2014/01/08,1.0,1.0,1.0,1.0,1.0
5,2014/01/09,1.0,1.0,1.0,1.0,1.0
6,2014/01/10,1.0,1.0,1.0,1.0,1.0
7,2014/01/13,1.0,1.0,1.0,1.0,1.0
8,2014/01/14,1.0,1.0,1.0,1.0,1.0
9,2014/01/15,1.0,1.0,1.0,1.0,1.0
10,2014/01/16,1.0,0.9999010053504680,1.0,1.0,0.9999673339324920
11,2014/01/17,1.0,0.9998969949331200,1.0,1.0,0.9999660104983210
12,2014/01/20,1.0,0.9997768476270940,1.0,1.0,0.9999263650794720
13,2014/01/21,1.0,0.9998823481650420,1.0,1.0,0.9999611827187500
14,2014/01/22,1.0,0.999875983744619,1.0,1.0,0.9999590824689510
15,2014/01/23,1.0,0.9999242283549390,1.0,1.0,0.9999750050282300
16,2014/01/24,1.0,1.00031868405231,1.0,1.0,1.0001052206293200
17,2014/01/27,1.0,1.0011214924095200,1.0,1.0,1.0003703118213900
18,2014/01/28,1.0,1.0010953404440600,1.0,1.0,1.0003616811050200
19,2014/01/29,1.0,1.0010940710817900,1.0,1.0,1.0003612621809400
20,2014/01/30,0.9997226432258960,1.001286319852440,1.0006151729185900,0.998547542677493,1.0002314411818700
21,2014/02/07,0.9989186761083490,1.001708319425040,1.0007404707305300,0.9987854552276450,1.0000281336708200
22,2014/02/10,0.9989130898010190,1.0015416148821300,1.0017675239301600,1.0001781643243800,1.0002092080575800
23,2014/02/11,0.998588682108733,1.002097146655280,1.0016447195430200,1.0000977234102600,1.0002192702836100
24,2014/02/12,0.998981534277629,1.0014719408279300,1.0015751302699200,0.9999970983929170,1.0001812947491400
25,2014/02/13,0.999059604025929,1.0015595078609700,1.0025997707063800,1.0014588890079700,1.0004912473666600
26,2014/02/14,0.999685609371619,1.0011709393886800,1.0033533981345500,1.001345660050610,1.0007305925541300
27,2014/02/17,1.0008338698435400,1.0013094710737800,1.0029199362144000,1.0020062268503000,1.0013287568520300
28,2014/02/18,0.9996674740653410,1.0007299061244600,1.0025730706246600,1.0042503572754000,1.000753673903120
29,2014/02/19,0.9989766586640420,1.001152515704510,1.00291573480325,1.0033905820979000,1.0005284401869300
30,2014/02/20,0.9993416079372000,1.0003341768271000,1.0030047692516500,1.0039779060116600,1.0004931419729900
31,2014/02/21,1.000161854765580,1.0003731992729000,1.0032478344331700,1.0037204117880900,1.000895859265570
32,2014/02/24,1.005182168667140,0.9992810943827980,1.00355475110156,1.0029015667385000,1.0028675558312100
33,2014/02/25,1.005648094846660,0.9989394820344460,1.0036568641367200,1.0019850120586500,1.0029033861109200
34,2014/02/26,1.0053457927610700,0.9990250698940910,1.00456265924851,1.003275494868640,1.0030047970194300
35,2014/02/27,1.0047292963725000,0.9987839386180790,1.0047757552250100,1.0027469410196000,1.0026117478226200
36,2014/02/28,1.0064548744149600,0.99891497086301,1.0048478218477600,1.0044736391751700,1.003628203498750
37,2014/03/03,1.0080967613271000,0.9997641456518480,1.0053260689157600,1.0039079642503200,1.004681510583730
38,2014/03/04,1.0086843945742300,0.9988370085738170,1.005544530414830,1.0053438280192800,1.0048036882524900
39,2014/03/05,1.0091116310336300,0.9983384757610170,1.0054711259115700,1.0059244023738400,1.0048832181460400
40,2014/03/06,1.010448981676650,0.9987589001733750,1.005780620373900,1.008071769294070,1.005876206240950
41,2014/03/07,1.0184363141601900,0.9993052529327750,1.0073569938004400,1.0081803246961500,1.0099921951531500
42,2014/03/10,1.0218780540809600,1.0019098521116900,1.007869658416220,1.0075999921825400,1.0124740672953200
43,2014/03/11,1.0227703269124300,1.0000411571700900,1.0069676645774200,1.0094136619688600,1.0123367499802700
44,2014/03/12,1.0176594268593100,1.0010729246010600,1.0069214484327700,1.0088187874446400,1.010236774411220
45,2014/03/13,1.0170367212209300,1.0020442850445700,1.0074411632447000,1.008278588427710,1.0102789369340000
46,2014/03/14,1.018131404059490,1.001435028147620,1.008731098853860,1.0076981688321100,1.0106775675659300
47,2014/03/17,1.0196388771812200,1.0026920534663500,1.008674102556170,1.0079288901070800,1.0118143267920700
48,2014/03/18,1.0184204260399100,1.0036159341293500,1.008073094643340,1.006481897525190,1.0113577447065200
49,2014/03/19,1.0173989775264400,1.0043737637937800,1.0071577616924500,1.0066810734799200,1.011051141411300
50,2014/03/20,1.0181438641635200,1.0042610570319400,1.007679428021070,1.0092017261068000,1.0116475696704900
51,2014/03/21,1.0190581066167400,1.0032494778074800,1.007242127814520,1.0067413341976200,1.0114691099273700
52,2014/03/24,1.0176511401101700,1.0036058157602300,1.0073890896117100,1.0073784540352500,1.011004926813660
53,2014/03/25,1.0185542875837400,1.0022092408743300,1.0080689974065800,1.0077747437288400,1.0110748039854000
54,2014/03/26,1.0173816408032700,1.001997884358160,1.0096884161592600,1.0079580832539800,1.0106530421606800
55,2014/03/27,1.0162972501593400,1.0020712927338500,1.0097073257975800,1.0072987936535500,1.0101140634346500
56,2014/03/28,1.0203605047935900,1.0020371650451100,1.0094622847147500,1.008123839582620,1.0120512216431100
57,2014/03/31,1.0224379219078900,1.001884762887670,1.0087302905226100,1.0093212418037300,1.0129991676419700
58,2014/04/01,1.0241862584145600,1.0016049048427400,1.0087241192371700,1.0100146526985300,1.0137850547971500
59,2014/04/02,1.0167946399639400,1.0020656061613900,1.0079658943034800,1.0038781478049400,1.0098632257409600
60,2014/04/03,1.0231879064668000,1.0015778453290500,1.0096399586985500,1.003827159719840,1.0128754369105200
61,2014/04/04,1.0327478291033700,1.0019526848026500,1.0092682237013100,1.0036339958567900,1.0174256352174700
62,2014/04/08,1.0429424534880300,1.0019236672588000,1.0097723381592000,1.0039799107123600,1.022285735075260
63,2014/04/09,1.0359574425820300,1.0017013782649300,1.0113318808541300,1.0045056266778800,1.0191832238897600
64,2014/04/10,1.03143660018238,1.0017738632276800,1.0100216021674100,1.003389211333000,1.0168555696888700
65,2014/04/11,1.0289965707806200,1.0011949265589700,1.0107288943750700,1.0032958306383700,1.015602149829260
66,2014/04/14,1.0271083888180600,1.001566589901140,1.0097643897728000,1.0030288564656500,1.0147215762171400
67,2014/04/15,1.031443653151450,1.0002105602671900,1.0108529962037800,1.0037235921234100,1.0164663238995400
68,2014/04/16,1.0252649513782600,1.0014550226811700,1.0103243055860900,1.0030002613786200,1.0139069717307600
69,2014/04/17,1.0219225515231400,1.001804716749440,1.0110259399376500,1.0014059238346100,1.0124108068459200
70,2014/04/18,1.0159030154910000,1.0011984885132100,1.0100894199661800,1.003103866042560,1.0094655175627000
71,2014/04/21,1.0166417590298400,1.0009028800054300,1.0126998308854600,1.0003914936690600,1.0097532645685000
72,2014/04/22,1.0138506217472300,1.0020754418814500,1.0121668851479600,0.9994906332839840,1.0087070427915400
73,2014/04/23,1.0130807120431600,1.0035975611854900,1.0121844717597500,1.0000735841848200,1.0089121852221300
74,2014/04/24,1.0108991085062700,1.008928816228080,1.0100586096396900,0.9981313450580890,1.009275773268400
75,2014/04/25,1.01047711435963,1.0075922785520700,1.0094364728356700,0.999222894266328,1.00866795126576
76,2014/04/28,1.0118688739323700,1.0057362060715900,1.0093465842767800,0.9991650318447150,1.0086951961457900
77,2014/04/29,1.0080881892643900,1.004431654106090,1.00845289621198,1.000864678778120,1.0065498872175500
78,2014/04/30,1.0155088498275000,1.002926080054880,1.0104122560387200,1.0016813071986600,1.0098408335105600
79,2014/05/05,1.0081868866488900,1.0032004649596700,1.0120728708331700,1.0047726262405300,1.0069771998185900
80,2014/05/06,1.0112539905756900,1.0031997981853700,1.0139348388466200,1.0065134400587800,1.0087793953695600
81,2014/05/07,1.016734461130800,1.0038578246481800,1.0157275261409800,1.0050006400942600,1.0116364141583900
82,2014/05/08,1.0185830256265800,1.003448461713380,1.0162989105537200,1.0077986748794800,1.0126848045553300
