index,0
2020-08-01,
2020-08-02,
2020-08-03,
2020-08-04,
2020-08-05,
2020-08-06,
2020-08-07,
2020-08-08,
2020-08-09,
2020-08-10,
2020-08-11,-8.566075654325887
2020-08-12,-32.0918692053861
2020-08-13,-65.28259291637917
2020-08-14,-29.226052413753955
2020-08-15,-3.6233170387920643
2020-08-16,21.836114010045556
2020-08-17,104.30300085187164
2020-08-18,109.49389467588317
2020-08-19,13.415108352749936
2020-08-20,-27.689180792300032
2020-08-21,3.8301205188094682
2020-08-22,-43.9933638380567
2020-08-23,-64.78153879637068
2020-08-24,-65.71402626397018
2020-08-25,-90.97373550533035
2020-08-26,-152.23589916746093
2020-08-27,-234.13876750872086
2020-08-28,-280.70965339622245
2020-08-29,-235.30534823783447
2020-08-30,-246.6955316093112
2020-08-31,-234.6659616770347
2020-09-01,-216.0258192058587
2020-09-02,-246.44791824179933
2020-09-03,-322.87035839481166
2020-09-04,-359.58786523510423
2020-09-05,-407.0608628301188
2020-09-06,-393.72102308845695
2020-09-07,-404.1270396773502
2020-09-08,-408.48997939187456
2020-09-09,-418.0848741204767
2020-09-10,-395.67709088238786
2020-09-11,-405.75384638058335
2020-09-12,-357.41070428188107
2020-09-13,-330.12194115180137
2020-09-14,-311.19412696974445
2020-09-15,-282.37917876236054
2020-09-16,-231.5044242477432
2020-09-17,-210.60735136834282
2020-09-18,-186.08640427265874
2020-09-19,-170.93992530851446
2020-09-20,-157.75948954885018
2020-09-21,-170.19954006422043
2020-09-22,-264.0859288281628
2020-09-23,-333.9704327738731
2020-09-24,-368.9191457888276
2020-09-25,-305.2142521637335
2020-09-26,-207.96358492494977
2020-09-27,-167.45345112045533
2020-09-28,-146.95405778677576
2020-09-29,-314.5764089006024
2020-09-30,-359.63613908696715
2020-10-01,-346.750299588288
2020-10-02,-439.9496456689174
2020-10-03,-390.9940530218643
2020-10-04,-362.90235902219126
2020-10-05,-306.40678279715945
2020-10-06,-293.2818001984857
2020-10-07,-304.20596707133393
2020-10-08,-343.4291779792986
2020-10-09,-240.32161413308432
2020-10-10,-63.70199199367268
2020-10-11,14.35751840033873
2020-10-12,28.30712188953762
2020-10-13,36.185668917609334
2020-10-14,0.5052517143322288
2020-10-15,-99.63003017835568
2020-10-16,-180.53533913957438
2020-10-17,-294.5659178942638
2020-10-18,-265.38743384979665
2020-10-19,-291.22174859809934
2020-10-20,-244.17664103766143
2020-10-21,-218.29982465537222
2020-10-22,14.205364383016136
2020-10-23,134.20134895560503
2020-10-24,51.31970701365183
2020-10-25,46.84597397813141
2020-10-26,320.93408645761895
2020-10-27,205.47769744333633
2020-10-28,138.58674701117974
2020-10-29,-33.5743328046958
2020-10-30,-162.34547997033303
2020-10-31,-172.0085548871537
2020-11-01,-186.57383966585175
2020-11-02,-237.82755783982088
2020-11-03,-296.2234641108852
2020-11-04,-325.7585674379767
2020-11-05,-215.9254064101362
2020-11-06,40.33662456363632
2020-11-07,237.7630174886621
2020-11-08,204.53510755667415
2020-11-09,248.93292118768676
2020-11-10,171.53337079260228
2020-11-11,217.14033461359585
2020-11-12,215.0185188665658
2020-11-13,240.5877173540395
2020-11-14,177.12743513564118
2020-11-15,194.82640810466708
2020-11-16,200.9325874402121
2020-11-17,251.18593868655648
2020-11-18,299.12598354623464
2020-11-19,271.490094363064
2020-11-20,351.581679413533
2020-11-21,467.75862019967053
2020-11-22,447.9626731187077
2020-11-23,492.87029588128064
2020-11-24,278.80881653426707
2020-11-25,220.0021115033416
2020-11-26,49.51434862935211
2020-11-27,41.82988811210428
2020-11-28,31.096018530751337
2020-11-29,31.400268678599396
2020-11-30,32.99954507585187
2020-12-01,39.82594436287253
2020-12-02,29.966280133700156
2020-12-03,24.54917787508509
2020-12-04,23.206143869604922
2020-12-05,18.98531518643271
2020-12-06,14.960643354872479
2020-12-07,11.691933743760082
2020-12-08,3.923686336850308
2020-12-09,-13.853198408245884
2020-12-10,-18.600397878438695
2020-12-11,-23.598983670825987
2020-12-12,-19.454074323092534
2020-12-13,-13.710282287432568
2020-12-14,-6.7969332649536
2020-12-15,-7.182627723176559
2020-12-16,-6.394089088460037
2020-12-17,9.600782822632974
2020-12-18,37.29639112073811
2020-12-19,88.78213784224435
2020-12-20,99.22979587711902
2020-12-21,174.4699593418325
2020-12-22,101.55878184424196
2020-12-23,102.02083619268134
2020-12-24,62.88548992069502
2020-12-25,65.92045198963365
2020-12-26,63.57052568794829
2020-12-27,63.57583647812021
2020-12-28,65.36897115483819
2020-12-29,49.89903005102518
2020-12-30,47.15403535648089
2020-12-31,46.54410482864103
2021-01-01,57.64567657980655
2021-01-02,84.35406675124182
2021-01-03,48.346329146590534
2021-01-04,23.1714969627404
2021-01-05,25.66817531374081
2021-01-06,32.96374091349874
2021-01-07,27.116215019160183
2021-01-08,21.626573508242032
2021-01-09,22.622010013444598
2021-01-10,21.487836036487156
2021-01-11,13.384163500652813
2021-01-12,11.927695658429569
2021-01-13,5.829479515113229
2021-01-14,4.531152557205766
2021-01-15,5.909569921206045
2021-01-16,7.076127823050382
2021-01-17,4.722837271402122
2021-01-18,4.725631735010827
2021-01-19,5.111453131691878
2021-01-20,3.5581422038841084
2021-01-21,1.7986341435242732
2021-01-22,0.007021109865764019
2021-01-23,0.11097091841959095
2021-01-24,-0.19243237587998743
2021-01-25,-0.01190202205871222
2021-01-26,-1.1499753346566428
2021-01-27,-2.858937517554069
2021-01-28,15.944275460415948
2021-01-29,9.281746155215112
2021-01-30,1.9995349370033988
2021-01-31,2.844368439840615
2021-02-01,4.740871963969644
