,0
2020-01-01,0.0
2020-01-02,0.0
2020-01-03,0.0
2020-01-04,0.0
2020-01-05,0.0
2020-01-06,0.0
2020-01-07,0.0
2020-01-08,0.0
2020-01-09,0.0
2020-01-10,0.0
2020-01-11,0.0
2020-01-12,0.0
2020-01-13,-0.22051168193954357
2020-01-14,19.140000000000054
2020-01-15,6.214623196375114
2020-01-16,2.9853790653424928
2020-01-17,26.380828732998662
2020-01-18,-8.362028086017917
2020-01-19,34.79
2020-01-20,-65.30747535515441
2020-01-21,2.125499040259294
2020-01-22,2.1230045726956766
2020-01-23,-13.338130459354957
2020-01-24,-12.908467501133222
2020-01-25,1.6365829294921896
2020-01-26,0.9881706724629842
2020-01-27,0.0
2020-01-28,0.0
2020-01-29,-0.08029848411932547
2020-01-30,-0.4745907657202056
2020-01-31,0.40949434582856525
2020-02-01,1.0
2020-02-02,-2.569221015086646
2020-02-03,1.6500000000000001
2020-02-04,-14.538538332073637
2020-02-05,1.4159999999999127
2020-02-06,47.08079110065587
2020-02-07,13.68399999999996
2020-02-08,4.338928670874709
2020-02-09,39.96070399782017
2020-02-10,-29.35211786527209
2020-02-11,-23.76076317140735
2020-02-12,85.43177684194872
2020-02-13,-3.024000000000051
2020-02-14,-14.265999999999948
2020-02-15,11.59334465136861
2020-02-16,-42.512000000000114
2020-02-17,-30.255535730108623
2020-02-18,-6.289797958153094
2020-02-19,28.924702961532706
2020-02-20,-28.980000000000018
2020-02-21,2.7113785216610076
2020-02-22,-0.06589561480056584
2020-02-23,-0.02143733048190093
2020-02-24,1.3309999999999855
2020-02-25,2.0090000000000146
2020-02-26,3.5639999999999965
2020-02-27,4.055132711602879
2020-02-28,3.0229862013949
2020-02-29,-3.118677107755265
2020-03-01,21.35113382984121
2020-03-02,-14.355
2020-03-03,-12.58099061190463
2020-03-04,-4.5188537655696575
2020-03-05,-11.52487887754454
2020-03-06,-19.378306487565347
2020-03-07,0.7106007857579272
2020-03-08,18.938328735068925
2020-03-09,22.648001494296675
2020-03-10,2.497426590159452
2020-03-11,6.398211595648487
2020-03-12,48.94620234430552
2020-03-13,276.8739999999999
2020-03-14,-13.756107786910668
2020-03-15,8.568954356227577
2020-03-16,26.151999999999973
2020-03-17,-30.16
2020-03-18,9.264000000000015
2020-03-19,-19.19199999999997
2020-03-20,-95.44800000000004
2020-03-21,38.93828128498414
2020-03-22,-6.396113886574849
2020-03-23,14.145
2020-03-24,-28.29300000000001
2020-03-25,-2.1032207312991575
2020-03-26,1.6301993715746623
2020-03-27,0.0
2020-03-28,0.0
2020-03-29,0.0
2020-03-30,0.0
2020-03-31,0.0
2020-04-01,0.0
2020-04-02,0.0
2020-04-03,0.0
2020-04-04,0.0
2020-04-05,0.0
2020-04-06,0.0
2020-04-07,-0.026487823284783836
2020-04-08,-0.6931407436283687
2020-04-09,1.151999999999989
2020-04-10,-12.275999999999994
2020-04-11,-1.3109999999999946
2020-04-12,-1.5214100480798731
2020-04-13,-2.5356473321783572
2020-04-14,0.8130000000000018
2020-04-15,0.6091600734035361
2020-04-16,0.0
2020-04-17,0.0
2020-04-18,-0.024684313912745816
2020-04-19,0.49934745621696136
2020-04-20,0.14
2020-04-21,-11.639380634393977
2020-04-22,4.21794395157972
2020-04-23,3.981000000000022
2020-04-24,14.228999999999978
2020-04-25,-0.16830789464449872
2020-04-26,0.0748338565500761
2020-04-27,13.412285727997842
2020-04-28,-1.6939567083295888
2020-04-29,35.71559490057774
2020-04-30,177.02518812307596
2020-05-01,-58.66325520279009
2020-05-02,-3.0603485538556936
2020-05-03,35.78400000000005
2020-05-04,-47.544000000000054
2020-05-05,47.789993174833086
2020-05-06,1.1159999999999126
2020-05-07,35.23200000000004
2020-05-08,62.567999999999955
2020-05-09,-21.129228800594166
2020-05-10,-113.33400000000015
2020-05-11,-23.146865580549967
2020-05-12,6.670130770000746
2020-05-13,6.292656199744327
2020-05-14,21.061909935258672
2020-05-15,-0.04191124923247552
2020-05-16,-5.565260419790806
2020-05-17,2.703999999999942
2020-05-18,3.9040000000000146
2020-05-19,8.628000000000029
2020-05-20,-0.8640000000000145
2020-05-21,-16.28
2020-05-22,-11.419562826148256
2020-05-23,2.881100065801342
2020-05-24,1.4018511404953031
2020-05-25,-4.385
2020-05-26,1.3492076749605815
2020-05-27,0.3590000000000146
2020-05-28,-2.6484252758542155
2020-05-29,-5.202000000000007
2020-05-30,-1.7352008210197298
2020-05-31,-0.032629481070322174
2020-06-01,-0.03637729078154472
2020-06-02,11.317999999999993
2020-06-03,-12.099666523766464
2020-06-04,6.652126088476814
2020-06-05,7.775999999999986
2020-06-06,-9.172000000000043
2020-06-07,2.3240000000000145
2020-06-08,1.0440000000000145
2020-06-09,-0.18
2020-06-10,2.2600000000000002
2020-06-11,2.644000000000015
2020-06-12,-13.46
2020-06-13,-1.3123816717185066
2020-06-14,-0.2123311998271724
2020-06-15,0.0
2020-06-16,-0.09482005826393186
2020-06-17,-0.09300000000001092
2020-06-18,1.74783823581969
2020-06-19,2.506000000000022
2020-06-20,0.49200000000000726
2020-06-21,-1.5540000000000145
2020-06-22,-1.2840000000000147
2020-06-23,-3.72
2020-06-24,1.8520413546551378
2020-06-25,0.0
2020-06-26,0.0
2020-06-27,-0.05964756184046869
2020-06-28,2.239100237355966
2020-06-29,-1.8185182955076706
2020-06-30,-3.791323708747947
2020-07-01,-3.7600000000000366
2020-07-02,-4.009999999999854
2020-07-03,11.012212531942337
2020-07-04,1.7119999999999709
2020-07-05,0.68
2020-07-06,-9.871999999999971
