,0
2020-08-01,0.0
2020-08-02,0.0
2020-08-03,0.0
2020-08-04,0.0
2020-08-05,0.0
2020-08-06,0.0
2020-08-07,0.0
2020-08-08,0.0
2020-08-09,0.0
2020-08-10,0.0
2020-08-11,0.0
2020-08-12,0.0
2020-08-13,-0.0003613603964712516
2020-08-14,-1.2610789161594456
2020-08-15,-0.5399999999999741
2020-08-16,-0.9006598806876308
2020-08-17,-3.525988098693667
2020-08-18,-0.003203339136963291
2020-08-19,-14.857209767894558
2020-08-20,0.7897844142954852
2020-08-21,3.59533053199823
2020-08-22,0.9869999999999974
2020-08-23,-0.08468367567052493
2020-08-24,-0.4328606507209777
2020-08-25,2.4749999999999965
2020-08-26,4.679045443954417
2020-08-27,-0.9122717150009534
2020-08-28,9.822166536488524
2020-08-29,-16.59172723123332
2020-08-30,2.313000000000084
2020-08-31,5.396999999999936
2020-09-01,-2.570000000000007
2020-09-02,17.218492030630518
2020-09-03,25.893999999999973
2020-09-04,72.59807738672443
2020-09-05,-16.039532185281235
2020-09-06,25.158368800197515
2020-09-07,4.643999999999945
2020-09-08,-0.38699999999988355
2020-09-09,11.60996779121888
2020-09-10,-13.580290079710164
2020-09-11,-0.7939999999999332
2020-09-12,-1.1909999999999858
2020-09-13,-15.48355663818493
2020-09-14,22.419194804830713
2020-09-15,-15.930592913614749
2020-09-16,-11.055874171468469
2020-09-17,11.971483518872354
2020-09-18,-2.570630397772247
2020-09-19,2.1232818594969958
2020-09-20,-0.8484494806182697
2020-09-21,6.894620685750706
2020-09-22,27.784000000000017
2020-09-23,0.1824785408687189
2020-09-24,7.407139313767147
2020-09-25,-20.020967107274515
2020-09-26,-21.95233960577034
2020-09-27,7.279249084572475
2020-09-28,-0.0011432603763516123
2020-09-29,-0.3845514522981348
2020-09-30,6.36125864032739
2020-10-01,-5.207179433259504
2020-10-02,37.84199999999992
2020-10-03,-20.03620441979385
2020-10-04,2.814000000000025
2020-10-05,-7.638053127227101
2020-10-06,8.798541335242419
2020-10-07,6.879667651479103
2020-10-08,6.288999999999973
2020-10-09,-18.536000000000023
2020-10-10,-21.185407920227185
2020-10-11,2.4973138383655327
2020-10-12,1.6139851353791617
2020-10-13,-0.02333268984330627
2020-10-14,0.21979894468145372
2020-10-15,0.098
2020-10-16,0.03455580771240264
2020-10-17,-0.7459587559782389
2020-10-18,-1.432548954467168
2020-10-19,5.207999999999938
2020-10-20,-6.695999999999921
2020-10-21,0.0
2020-10-22,-14.88000000000004
2020-10-23,-0.7491113863517602
2020-10-24,1.6891341411830887
2020-10-25,1.1049999999999993
2020-10-26,14.87500000000002
2020-10-27,-11.309944323668129
2020-10-28,-5.077038445829647
2020-10-29,-19.2015554184585
2020-10-30,-5.779079653012165
2020-10-31,0.03293256173742792
2020-11-01,1.6637870726852981
2020-11-02,5.61665352823664
2020-11-03,2.8868171079496543
2020-11-04,-1.0213125658401718
2020-11-05,-14.672623888788516
2020-11-06,-39.0159180873054
2020-11-07,-22.93866894176328
2020-11-08,-0.7729286734118433
2020-11-09,11.591999999999922
2020-11-10,-15.732318126064772
2020-11-11,24.419484990032238
2020-11-12,-3.799999999999984
2020-11-13,6.399999999999982
2020-11-14,-11.600354681909707
2020-11-15,12.625715320612207
2020-11-16,1.2180000000000737
2020-11-17,19.690999999999974
2020-11-18,3.4503906105025797
2020-11-19,-8.589248436739597
2020-11-20,12.878000000000046
2020-11-21,72.06058842184306
2020-11-22,9.686539652364456
2020-11-23,60.112000000000116
2020-11-24,352.27238213187803
2020-11-25,-75.82651897636448
2020-11-26,-274.8376789610529
2020-11-27,34.63905086969713
2020-11-28,2.584621258697079
2020-11-29,8.035336921178358
2020-11-30,0.8189999999999903
2020-12-01,4.524000000000026
2020-12-02,-6.3960000000000035
2020-12-03,-0.15613109740994024
2020-12-04,2.2196680854612203
2020-12-05,-1.6001308383210737
2020-12-06,-0.3002609056443876
2020-12-07,-0.15625922181789728
2020-12-08,-1.9361886079906336
2020-12-09,-4.617469013526601
2020-12-10,0.9779178610033564
2020-12-11,0.4827073383525632
2020-12-12,-1.3203031581525573
2020-12-13,-0.5779999999999956
2020-12-14,-0.9010000000000016
2020-12-15,1.2578175874584492
2020-12-16,-0.23800000000000732
2020-12-17,-3.415999999999992
2020-12-18,-5.293196652835244
2020-12-19,0.25383585225363775
2020-12-20,0.29612568409064854
2020-12-21,90.39862028186818
2020-12-22,-59.88657797620186
2020-12-23,0.3252824080823926
2020-12-24,-50.075999999999965
2020-12-25,52.85348131153921
2020-12-26,2.4149999999999614
2020-12-27,3.035999999999984
2020-12-28,9.315000000000039
2020-12-29,-16.214999999999996
2020-12-30,3.7244494441112566
2020-12-31,8.679630855475459
2021-01-01,12.720000000000033
2021-01-02,99.00399999999999
2021-01-03,261.7059582268444
2021-01-04,-174.44754206408862
2021-01-05,-15.875466645237418
2021-01-06,31.656000000000017
2021-01-07,-12.028192544956351
2021-01-08,-14.850141189824775
2021-01-09,12.582420372427624
2021-01-10,11.706999999999978
2021-01-11,-30.313999999999993
2021-01-12,-10.124167996785832
2021-01-13,-8.070489531400094
2021-01-14,5.330421783140306
2021-01-15,6.579427402219955
2021-01-16,-0.36000000000000615
2021-01-17,-2.9519999999999964
2021-01-18,1.536000000000006
2021-01-19,1.3019999999999907
2021-01-20,-2.495999999999998
2021-01-21,-2.0945174327093086
2021-01-22,-1.3510000390388281
2021-01-23,1.1334774124354092
2021-01-24,-0.2500000000000002
2021-01-25,0.2354790213611815
2021-01-26,-0.4679999999999979
2021-01-27,-0.34147206635434846
