index,BNB-USDT,BTC-USDT-SWAP,ETH-USDT-SWAP
2020-01-01,0.25,0.5,0.25
2020-01-02,0.25,0.5,0.25
2020-01-03,0.25,0.5,0.25
2020-01-04,0.25,0.5,0.25
2020-01-05,0.25,0.5,0.25
2020-01-06,0.25,0.5,0.25
2020-01-07,0.25,0.5,0.25
2020-01-08,0.25,0.5,0.25
2020-01-09,0.25,0.5,0.25
2020-01-10,0.25,0.5,0.25
2020-01-11,0.23183794558375773,0.5121080362774949,0.25605401813874745
2020-01-12,0.21601900287854076,0.5226539980809728,0.2613269990404864
2020-01-13,0.20211763089836898,0.5319215794010874,0.2659607897005437
2020-01-14,0.18980545185755995,0.5401296987616266,0.2700648493808133
2020-01-15,0.17882501722539654,0.5474499885164024,0.2737249942582012
2020-01-16,0.16897163807091872,0.5540189079527208,0.2770094539763604
2020-01-17,0.16008052853428884,0.5599463143104741,0.2799731571552371
2020-01-18,0.15201753406498497,0.5653216439566766,0.2826608219783383
2020-01-19,0.1446723300873353,0.5702184466084432,0.2851092233042216
2020-01-20,0.1379533558034653,0.5746977627976898,0.2873488813988449
2020-01-21,0.13178398775624225,0.5788106748291718,0.2894053374145859
2020-01-22,0.12609961307403,0.5826002579506466,0.2913001289753233
2020-01-23,0.12084536491216434,0.5861030900585571,0.29305154502927855
2020-01-24,0.11597435164592813,0.5893504322360479,0.29467521611802394
2020-01-25,0.11144625862183227,0.5923691609187784,0.2961845804593892
2020-01-26,0.10722623411924784,0.5951825105871681,0.29759125529358404
2020-01-27,0.10328399433354385,0.5978106704443041,0.29890533522215207
2020-01-28,0.09959309873801064,0.600271267507993,0.3001356337539965
2020-01-29,0.09613035914859255,0.602579760567605,0.3012898802838025
2020-01-30,0.09287535456903433,0.6047497636206437,0.30237488181032185
2020-01-31,0.0898100303653152,0.6067933130897899,0.30339665654489495
2020-02-01,0.08691836514976876,0.608721089900154,0.304360544950077
2020-02-02,0.08418609239608513,0.6105426050692766,0.3052713025346383
2020-02-03,0.08160046657382813,0.6122663556174479,0.30613317780872396
2020-02-04,0.07915006571192072,0.6138999561920528,0.3069499780960264
2020-02-05,0.07682462393836997,0.6154502507077533,0.30772512535387664
2020-02-06,0.07461488881753264,0.6169234074549782,0.3084617037274891
2020-02-07,0.07251249930407695,0.6183250004639487,0.30916250023197434
2020-02-08,0.07050988091943572,0.6196600793870428,0.3098300396935214
2020-02-09,0.06860015538049981,0.6209332297463335,0.31046661487316674
2020-02-10,0.0667770624081157,0.6221486250612561,0.31107431253062806
2020-02-11,0.06503489184233711,0.6233100721051086,0.3116550360525543
2020-02-12,0.06336842451349653,0.6244210503243357,0.31221052516216785
2020-02-13,0.06177288057927067,0.6254847462804862,0.3127423731402431
2020-02-14,0.06024387425058672,0.6265040838329422,0.3132520419164711
2020-02-15,0.05877737400323633,0.6274817506645092,0.3137408753322546
2020-02-16,0.05736966751508226,0.6284202216566118,0.3142101108283059
2020-02-17,0.05601733068677612,0.6293217795421493,0.31466088977107465
2020-02-18,0.054717200201711634,0.6301885331988589,0.31509426659942946
2020-02-19,0.05346634916229726,0.6310224338918018,0.3155112169459009
2020-02-20,0.059324700748116,0.6271168661679226,0.3135584330839613
2020-02-21,0.06488677136000488,0.6234088190933301,0.31170440954666506
2020-02-22,0.07017431916340158,0.619883787224399,0.3099418936121995
2020-02-23,0.07520702287070456,0.6165286514195303,0.30826432570976514
2020-02-24,0.08000272436701981,0.6133315170886535,0.30666575854432676
2020-02-25,0.08457763813974026,0.6102815745735065,0.30514078728675326
2020-02-26,0.08894653269271979,0.6073689782048535,0.30368448910242674
2020-02-27,0.09312288822191434,0.6045847411853904,0.3022923705926952
2020-02-28,0.09711903409910227,0.6019206439339319,0.3009603219669659
2020-02-29,0.10094626911737921,0.5993691539217473,0.29968457696087364
2020-03-01,0.10461496696843632,0.5969233553543758,0.2984616776771879
2020-03-02,0.10813466902526539,0.5945768873164897,0.29728844365824486
2020-03-03,0.1115141661777163,0.5923238892148558,0.2961619446074279
2020-03-04,0.11476157119873681,0.5901589525341755,0.29507947626708775
2020-03-05,0.1178843828954356,0.5880770780697097,0.29403853903485483
2020-03-06,0.12088954311280371,0.5860736379247976,0.2930368189623988
2020-03-07,0.12378348750219273,0.5841443416652049,0.29207217083260245
2020-03-08,0.12657219083600477,0.5822852061093301,0.29114260305466505
2020-03-09,0.1292612075400887,0.5804925283066075,0.29024626415330373
2020-03-10,0.13185570802248153,0.5787628613183456,0.2893814306591728
2020-03-11,0.13436051129847856,0.5770929924676809,0.28854649623384043
2020-03-12,0.1367801143451882,0.5754799237698744,0.2877399618849372
2020-03-13,0.13911871856178182,0.5739208542921455,0.2869604271460727
2020-03-14,0.1413802536629921,0.5724131642246719,0.28620658211233596
2020-03-15,0.1435683992917202,0.5709544004721866,0.2854772002360933
2020-03-16,0.14568660460079888,0.5695422635994675,0.28477113179973373
2020-03-17,0.14773810602311288,0.5681745959845914,0.2840872979922957
2020-03-18,0.14972594342264917,0.5668493710515673,0.28342468552578365
2020-03-19,0.15165297479600554,0.5655646834693296,0.2827823417346648
2020-03-20,0.15352188967389818,0.5643187402174012,0.2821593701087006
2020-03-21,0.1553352213548335,0.563109852430111,0.2815549262150555
2020-03-22,0.1570953580879735,0.561936427941351,0.2809682139706755
2020-03-23,0.15880455330901053,0.5607969644606596,0.2803984822303298
2020-03-24,0.16046493502130763,0.5596900433191282,0.2798450216595641
2020-03-25,0.16207851440443077,0.5586143237303796,0.2793071618651898
2020-03-26,0.16364719372330308,0.557568537517798,0.278784268758899
