,0
2020-01-01,0.0
2020-01-02,0.0
2020-01-03,0.0
2020-01-04,0.0
2020-01-05,0.0
2020-01-06,0.0
2020-01-07,0.0
2020-01-08,0.0
2020-01-09,0.0
2020-01-10,0.0
2020-01-11,0.0
2020-01-12,0.0
2020-01-13,-3.2425868004556198
2020-01-14,10.879999999999981
2020-01-15,22.910576735307814
2020-01-16,-13.404946103374733
2020-01-17,29.69999999999994
2020-01-18,1.6093943167838514
2020-01-19,47.551527168485165
2020-01-20,-68.4212583015372
2020-01-21,27.936101384884722
2020-01-22,-5.286138969863604
2020-01-23,-21.77821514107679
2020-01-24,-23.83993360920234
2020-01-25,1.4538340558125837
2020-01-26,0.8437302544400901
2020-01-27,0.8279312626299912
2020-01-28,0.0
2020-01-29,-0.024890282995457143
2020-01-30,-1.9347384031890655
2020-01-31,5.850000000000005
2020-02-01,-1.0647089501893032
2020-02-02,2.197578632703659
2020-02-03,23.36999999999996
2020-02-04,-6.327641531407946
2020-02-05,79.78270632740647
2020-02-06,13.43971986699544
2020-02-07,-4.490728344250781
2020-02-08,-11.179999999999962
2020-02-09,15.479999999999967
2020-02-10,-43.86833600546015
2020-02-11,-5.769076273854114
2020-02-12,63.40652364623143
2020-02-13,84.80000000000007
2020-02-14,33.203874746463825
2020-02-15,43.68000000000017
2020-02-16,-90.47999999999999
2020-02-17,-118.98686431071357
2020-02-18,24.60407336857855
2020-02-19,12.359735659666017
2020-02-20,-33.69437985068562
2020-02-21,0.9914140477850577
2020-02-22,0.09161542281965099
2020-02-23,-1.912517380991581
2020-02-24,2.400000000000002
2020-02-25,2.819999999999989
2020-02-26,6.938129476975513
2020-02-27,2.6470461007725876
2020-02-28,2.158513960566172
2020-02-29,-6.730584167899126
2020-03-01,11.399999999999993
2020-03-02,-2.4305949126707573
2020-03-03,-3.7799999999999834
2020-03-04,-3.420000000000023
2020-03-05,-0.7400812167447313
2020-03-06,-7.700285827041972
2020-03-07,-0.45046644656117263
2020-03-08,10.980526946697431
2020-03-09,19.71
2020-03-10,3.176017533795671
2020-03-11,-2.934760046719055
2020-03-12,47.943319559940534
2020-03-13,98.1246632969874
2020-03-14,-15.369999999999997
2020-03-15,7.815613605293972
2020-03-16,24.800000000000022
2020-03-17,-22.940000000000055
2020-03-18,11.766365336978248
2020-03-19,-12.540000000000084
2020-03-20,-73.91999999999992
2020-03-21,50.12331311198006
2020-03-22,-7.052188989285024
2020-03-23,18.900000000000016
2020-03-24,-27.93000000000001
2020-03-25,-2.349052644431684
2020-03-26,2.6893403123456863
2020-03-27,-11.648096110503108
2020-03-28,1.609874332515362
2020-03-29,-1.9963625658209754
2020-03-30,0.1438052530526744
2020-03-31,-0.12806110343381577
2020-04-01,0.08204358810024619
2020-04-02,0.0
2020-04-03,-0.008231828012218521
2020-04-04,-0.11637249513836605
2020-04-05,-0.038181689524884446
2020-04-06,2.72
2020-04-07,5.6926897074088885
2020-04-08,-1.3172576529796631
2020-04-09,2.5921149927252465
2020-04-10,-34.42686264668097
2020-04-11,4.890511833570632
2020-04-12,-5.216817989248035
2020-04-13,-12.52878455340732
2020-04-14,3.346558933164446
2020-04-15,1.5300000000000065
2020-04-16,2.159999999999987
2020-04-17,-0.5399999999999905
2020-04-18,1.2600000000000111
2020-04-19,1.5777217642271122
2020-04-20,-0.4529068338323583
2020-04-21,-14.407853253356542
2020-04-22,3.9110559942425356
2020-04-23,1.4904105737496296
2020-04-24,3.520000000000001
2020-04-25,-0.5224356749593924
2020-04-26,-1.309233004439588
2020-04-27,5.600000000000049
2020-04-28,0.15077813302450244
2020-04-29,46.79098020760224
2020-04-30,17.951072488751738
2020-05-01,-9.385900487115714
2020-05-02,-19.17592649870767
2020-05-03,40.24448932013681
2020-05-04,-68.67999999999998
2020-05-05,48.814979685016766
2020-05-06,-5.728968282488298
2020-05-07,-12.719999999999922
2020-05-08,-2.720034003264543
2020-05-09,25.614057653401144
2020-05-10,-91.0200000000001
2020-05-11,-20.787526265002406
2020-05-12,0.6379182718274239
2020-05-13,-1.7582493302561937
2020-05-14,-8.2582312860968
2020-05-15,2.400000000000002
2020-05-16,2.535683054366918
2020-05-17,-2.0799999999999876
2020-05-18,-2.2181556432853204
2020-05-19,-2.5445970410853502
2020-05-20,0.05738582813569387
2020-05-21,3.1342474723104417
2020-05-22,-0.24000000000000687
2020-05-23,0.17211582031215894
2020-05-24,-0.48793167474620935
2020-05-25,3.192387032571362
2020-05-26,-0.6533068495013178
2020-05-27,-2.8753309595795016
2020-05-28,1.9499999999999935
2020-05-29,-3.60000000000002
2020-05-30,-2.8499999999999774
2020-05-31,-7.381890261762306
2020-06-01,0.6758420464607585
2020-06-02,0.629602066467376
2020-06-03,-5.185148232007223
2020-06-04,4.752185825119263
2020-06-05,-0.22997609398674834
2020-06-06,-7.500000000000007
2020-06-07,2.4692024897818725
2020-06-08,-2.7604770935826153
2020-06-09,0.7967698057373876
2020-06-10,-1.0150676664592062
2020-06-11,-0.12498374818361399
2020-06-12,-1.7215093644925559
2020-06-13,-0.1270615494238309
2020-06-14,2.272014263532625
2020-06-15,30.178234513731084
2020-06-16,-37.205876541629294
2020-06-17,-30.0847946585564
2020-06-18,27.138305072362225
2020-06-19,15.012453351776838
2020-06-20,5.589999999999981
2020-06-21,-2.6211662848710415
2020-06-22,-0.9800000000000281
2020-06-23,-5.389999999999951
2020-06-24,12.726534822792111
2020-06-25,13.630000000000065
2020-06-26,17.82778056865215
2020-06-27,-16.192106907861117
2020-06-28,35.88459780543547
2020-06-29,5.20881356439337
