,BNB-USDT,BTC-USDT-SWAP,ETH-USDT-SWAP
2020-01-01,,0.0,0.0
2020-01-02,,0.0,0.0
2020-01-03,,0.0,0.0
2020-01-04,,0.0,0.0
2020-01-05,,0.0,0.0
2020-01-06,,0.0,0.0
2020-01-07,,0.0,0.0
2020-01-08,,0.0,0.0
2020-01-09,,0.0,0.0
2020-01-10,,0.0,0.0
2020-01-11,,0.0,0.0
2020-01-12,,0.0,0.0
2020-01-13,,-0.1,-0.6121993589574388
2020-01-14,,7.634997164969123,5.112000000000006
2020-01-15,,3.7449013850330086,11.47135882374692
2020-01-16,,1.4927154259067146,-1.1501172232240748
2020-01-17,,13.180854439581635,17.83065248990812
2020-01-18,,-4.567967745039956,-6.402303759175727
2020-01-19,,19.88,18.446000000000023
2020-01-20,,-37.315711211499284,-25.57600000000001
2020-01-21,,1.2028262867935868,3.90527459672667
2020-01-22,,1.2775270897690676,2.4464667144819696
2020-01-23,,-8.343106148381782,-6.989999999999995
2020-01-24,,-7.373709971536752,-7.472993433736011
2020-01-25,,0.9784363706475339,2.537203811732344
2020-01-26,,0.49410935784626686,0.7312350166114802
2020-01-27,,0.0,1.7000000000000028
2020-01-28,,0.0,2.6699999999999875
2020-01-29,,-0.04009540629479894,3.598370546859342
2020-01-30,,-0.2568640380412762,-1.6971922943950783
2020-01-31,,0.2607729888604606,7.5240000000000045
2020-02-01,,0.6,-1.762465523535553
2020-02-02,,-1.5491952417969006,8.512000000000018
2020-02-03,,1.05,4.129147195088675
2020-02-04,,-9.24,-4.666679885455577
2020-02-05,,0.8259999999999491,7.258999999999969
2020-02-06,,27.475,30.634000000000015
2020-02-07,,8.707999999999975,14.770826582919799
2020-02-08,,2.765879347996101,13.52800000000001
2020-02-09,,24.574497350606727,7.865999999999975
2020-02-10,0.0,-19.549013758809927,-13.224000000000016
2020-02-11,0.0,-14.527738012036188,-3.400999999999985
2020-02-12,0.0,50.26961964518059,61.80700000000001
2020-02-13,0.0,-1.9440000000000328,16.56293628109401
2020-02-14,0.0,-9.170999999999967,7.118311303342308
2020-02-15,0.0,7.458699582883665,24.869999999999976
2020-02-16,0.0,-26.570000000000075,-17.639999999999986
2020-02-17,0.0,-18.899714540674523,-29.371713560206107
2020-02-18,0.0,-4.186600093039712,22.36829188847752
2020-02-19,0.0,20.64875833636764,18.78000000000004
2020-02-20,0.0,-17.388000000000012,-31.248000000000026
2020-02-21,-0.0013464263937670972,1.6352453244821985,2.233676613749536
2020-02-22,0.20299999999999585,-0.06586759605482176,1.0269236043114789
2020-02-23,-0.8549999999999969,-0.02140858535437359,6.591835995033522
2020-02-24,0.10700000000000287,1.3309999999999855,-1.8400000000000034
2020-02-25,1.3459999999999965,2.0090000000000146,-4.664999999999992
2020-02-26,1.9830000000000005,3.5639999999999965,-9.804022263680695
2020-02-27,0.6259122631426526,4.074807764154082,-3.252874171321035
2020-02-28,-0.23906343330518295,2.286544734259384,-0.4257746057085805
2020-02-29,-1.248000000000001,-1.9443126229811585,-0.4919286244985509
2020-03-01,-0.43799999999999173,12.822000000000044,1.8060000000000003
2020-03-02,-0.5610000000000035,-7.848920027247128,-0.43785212180628097
2020-03-03,-0.5160000000000018,-7.994000000000051,-1.5420000000000045
2020-03-04,-1.0949999999999953,-2.625,0.15600000000000308
2020-03-05,-2.3381300709434605,-7.340853563023994,-0.6509999999999962
2020-03-06,-0.9491371526865101,-11.623127561366868,-2.3880000000000026
2020-03-07,0.137000000000004,0.44178516790564915,-2.2910389619506306
2020-03-08,1.7269626116262335,11.366688953622452,2.990085932086876
2020-03-09,0.0,15.11199999999999,2.1810000000000005
2020-03-10,-0.0021914095733352704,1.2291489614142055,0.8302555030256802
2020-03-11,0.20693604188279227,4.015763027870204,0.1605594710313273
2020-03-12,6.308054930937819,26.699625842978882,11.478428900590812
2020-03-13,17.012000000000008,149.08599999999996,22.26868233218677
2020-03-14,-1.7360000000000042,-7.404000185542572,-1.8180000000000094
2020-03-15,1.259325324425478,4.904000000000015,3.459422393983517
2020-03-16,5.2199999999999935,13.075999999999986,9.024000000000001
2020-03-17,-4.615752802309985,-15.08,-4.567999999999995
2020-03-18,0.5512705507403776,4.632000000000008,3.231999999999994
2020-03-19,-2.9749999999999943,-9.595999999999986,-4.943999999999995
2020-03-20,-11.940000000000008,-47.72400000000002,-22.009561031160203
2020-03-21,6.644150571715388,19.476780862935406,14.03721057100972
2020-03-22,-1.2537442658011788,-3.8345360831192665,-1.2488273833061516
2020-03-23,2.1359999999999992,9.408698714858252,5.539999999999999
2020-03-24,-2.6999999999999993,-9.431000000000004,-9.080000000000005
2020-03-25,-0.42400000000000304,-0.6839999999999964,-0.0015229259977767487
2020-03-26,0.49108541929609417,1.630232626518763,1.8385379769532428
2020-03-27,-0.7780000000000022,0.0,-0.4364656858804995
2020-03-28,0.7590000000000021,0.0,1.4579999999999984
2020-03-29,0.44400000000000084,0.0,-0.006000000000000227
2020-03-30,-0.18900000000000183,0.0,-0.2799999999999955
2020-03-31,-0.657,0.0,-0.4860000000000014
2020-04-01,0.41600000000000037,0.0,0.23000000000000115
2020-04-02,-0.5210000000000008,0.0,-1.0680000000000007
2020-04-03,-0.6499490307521759,0.0,-1.3414941575679304
2020-04-04,0.0,0.0,0.20900000000000035
2020-04-05,0.0,0.0,-0.10648336568049806
2020-04-06,-0.0009920344852680963,0.0,0.0
2020-04-07,1.0679999999999996,0.0,-0.0018149166982220084
2020-04-08,-0.1821216587406112,-0.05207082856472254,-0.42803886426866905
